Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"U94","WS2812-2020","LED_WS2812-2020",404.460000,-111.173522,90.000000,top
"U95","WS2812-2020","LED_WS2812-2020",406.860000,-111.173522,90.000000,top
"U96","WS2812-2020","LED_WS2812-2020",409.260000,-111.173522,90.000000,top
"U97","WS2812-2020","LED_WS2812-2020",411.660000,-111.173522,90.000000,top
"U98","WS2812-2020","LED_WS2812-2020",414.060000,-111.173522,90.000000,top
"U99","WS2812-2020","LED_WS2812-2020",416.460000,-111.173522,90.000000,top
"U100","WS2812-2020","LED_WS2812-2020",418.860000,-111.173522,90.000000,top
"U101","WS2812-2020","LED_WS2812-2020",421.260000,-111.173522,90.000000,top
"U102","WS2812-2020","LED_WS2812-2020",423.660000,-111.173522,90.000000,top
"U103","WS2812-2020","LED_WS2812-2020",426.060000,-111.173522,90.000000,top
"U104","WS2812-2020","LED_WS2812-2020",428.460000,-111.173522,90.000000,top
"U105","WS2812-2020","LED_WS2812-2020",430.860000,-111.173522,90.000000,top
"U106","WS2812-2020","LED_WS2812-2020",433.260000,-111.173522,90.000000,top
"U107","WS2812-2020","LED_WS2812-2020",435.660000,-111.173522,90.000000,top
"U108","WS2812-2020","LED_WS2812-2020",438.060000,-111.173522,90.000000,top
"U109","WS2812-2020","LED_WS2812-2020",440.460000,-111.173522,90.000000,top
"U110","WS2812-2020","LED_WS2812-2020",442.860000,-111.173522,90.000000,top
"U111","WS2812-2020","LED_WS2812-2020",445.260000,-111.173522,90.000000,top
"U112","WS2812-2020","LED_WS2812-2020",447.660000,-111.173522,90.000000,top
"U113","WS2812-2020","LED_WS2812-2020",450.060000,-111.173522,90.000000,top
"U114","WS2812-2020","LED_WS2812-2020",452.460000,-111.173522,90.000000,top
"U115","WS2812-2020","LED_WS2812-2020",454.859999,-111.173522,90.000000,top
"U116","WS2812-2020","LED_WS2812-2020",457.260000,-111.173522,90.000000,top
"U117","WS2812-2020","LED_WS2812-2020",459.660000,-111.173522,90.000000,top
